STATE,STATEFIPS,COUNTYFIPS,FIPS,State-County Name,TP-TotPop
AL,1,1,1001,Alabama-Autauga County,48.612
AL,1,3,1003,Alabama-Baldwin County,162.586
AL,1,5,1005,Alabama-Barbour County,28.414
AL,1,7,1007,Alabama-Bibb County,21.516
AL,1,9,1009,Alabama-Blount County,55.725
AL,1,11,1011,Alabama-Bullock County,11.055
AL,1,13,1013,Alabama-Butler County,20.766
AL,1,15,1015,Alabama-Calhoun County,112.141
AL,1,17,1017,Alabama-Chambers County,35.46
AL,1,19,1019,Alabama-Cherokee County,24.522
AL,1,21,1021,Alabama-Chilton County,41.744
AL,1,23,1023,Alabama-Choctaw County,14.807
AL,1,25,1025,Alabama-Clarke County,27.269
AL,1,27,1027,Alabama-Clay County,13.964
AL,1,29,1029,Alabama-Cleburne County,14.46
AL,1,31,1031,Alabama-Coffee County,45.567
AL,1,33,1033,Alabama-Colbert County,54.66
AL,1,35,1035,Alabama-Conecuh County,13.257
AL,1,37,1037,Alabama-Coosa County,11.162
AL,1,39,1039,Alabama-Covington County,37.003
AL,1,41,1041,Alabama-Crenshaw County,13.727
AL,1,43,1043,Alabama-Cullman County,79.886
AL,1,45,1045,Alabama-Dale County,48.748
AL,1,47,1047,Alabama-Dallas County,44.366
AL,1,49,1049,Alabama-De Kalb County,67.271
AL,1,51,1051,Alabama-Elmore County,73.937
AL,1,53,1053,Alabama-Escambia County,38.082
AL,1,55,1055,Alabama-Etowah County,103.189
AL,1,57,1057,Alabama-Fayette County,18.228
AL,1,59,1059,Alabama-Franklin County,30.737
AL,1,61,1061,Alabama-Geneva County,25.735
AL,1,63,1063,Alabama-Greene County,9.661
AL,1,65,1065,Alabama-Hale County,18.316
AL,1,67,1067,Alabama-Henry County,16.61
AL,1,69,1069,Alabama-Houston County,94.249
AL,1,71,1071,Alabama-Jackson County,53.65
AL,1,73,1073,Alabama-Jefferson County,657.229
AL,1,75,1075,Alabama-Lamar County,14.962
AL,1,77,1077,Alabama-Lauderdale County,87.691
AL,1,79,1079,Alabama-Lawrence County,34.605
AL,1,81,1081,Alabama-Lee County,123.254
AL,1,83,1083,Alabama-Limestone County,70.469
AL,1,85,1085,Alabama-Lowndes County,13.076
AL,1,87,1087,Alabama-Macon County,22.81
AL,1,89,1089,Alabama-Madison County,298.192
AL,1,91,1091,Alabama-Marengo County,21.879
AL,1,93,1093,Alabama-Marion County,30.154
AL,1,95,1095,Alabama-Marshall County,85.634
AL,1,97,1097,Alabama-Mobile County,401.427
AL,1,99,1099,Alabama-Monroe County,23.733
AL,1,101,1101,Alabama-Montgomery County,221.619
AL,1,103,1103,Alabama-Morgan County,113.74
AL,1,105,1105,Alabama-Perry County,11.371
AL,1,107,1107,Alabama-Pickens County,20.178
AL,1,109,1109,Alabama-Pike County,29.639
AL,1,111,1111,Alabama-Randolph County,22.717
AL,1,113,1113,Alabama-Russell County,49.326
AL,1,115,1115,Alabama-St Clair County,72.33
AL,1,117,1117,Alabama-Shelby County,171.465
AL,1,119,1119,Alabama-Sumter County,13.819
AL,1,121,1121,Alabama-Talladega County,80.457
AL,1,123,1123,Alabama-Tallapoosa County,40.717
AL,1,125,1125,Alabama-Tuscaloosa County,168.908
AL,1,127,1127,Alabama-Walker County,70.117
AL,1,129,1129,Alabama-Washington County,17.773
AL,1,131,1131,Alabama-Wilcox County,12.937
AL,1,133,1133,Alabama-Winston County,24.498
AK,2,13,2013,Alaska-Aleutians East Borough County,2.659
AK,2,16,2016,Alaska-Aleutians West Census Area County,5.249
AK,2,20,2020,Alaska-Municipality of Anchorage County,278.241
AK,2,50,2050,Alaska-Bethel Division County,17.085
AK,2,60,2060,Alaska-Bristol Bay Borough County,1.073
AK,2,68,2068,Alaska-Denali Borough County,1.823
AK,2,70,2070,Alaska-Dillingham Division County,4.792
AK,2,90,2090,Alaska-Fairbanks North Star Borough County,87.65
AK,2,100,2100,Alaska-Haines Borough County,2.207
AK,2,110,2110,Alaska-City & Borough of Juneau County,31.193
AK,2,122,2122,Alaska-Kenai Peninsula Borough County,51.224
AK,2,130,2130,Alaska-Ketchikan Gateway Borough County,13.125
AK,2,150,2150,Alaska-Kodiak Island Borough County,13.638
AK,2,164,2164,Alaska-Lake and Peninsula Borough County,1.62
AK,2,170,2170,Alaska-Matanuska-Susitna Borough County,74.041
AK,2,180,2180,Alaska-Nome Division County,9.452
AK,2,185,2185,Alaska-North Slope Borough County,6.894
AK,2,188,2188,Alaska-Northwest Arctic Borough County,7.323
AK,2,201,2201,Alaska-Prince of Wales-Outer Ketchikan-Metlakatla Census Area County,5.497
AK,2,220,2220,Alaska-City & Borough of Sitka County,8.947
AK,2,232,2232,Alaska-Skagway-Hoonah-Angoon Census Area County,3.062
AK,2,240,2240,Alaska-Southeast fairbanks Division County,6.471
AK,2,261,2261,Alaska-Valdez-Cordova Census Area County,10.042
AK,2,270,2270,Alaska-Wade Hampton Division County,7.496
AK,2,280,2280,Alaska-Wrangell-Petersburg Division County,6.172
AK,2,282,2282,Alaska-Yakutat Borough County,0.619
AK,2,290,2290,Alaska-Yukon-Koyukuk Division County,6.061
AZ,4,1,4001,Arizona-Apache County,69.343
AZ,4,3,4003,Arizona-Cochise County,126.106
AZ,4,5,4005,Arizona-Coconino County,123.866
AZ,4,7,4007,Arizona-Gila County,51.663
AZ,4,9,4009,Arizona-Graham County,33.073
AZ,4,11,4011,Arizona-Greenlee County,7.521
AZ,4,12,4012,Arizona-La Paz County,20.238
AZ,4,13,4013,Arizona-Maricopa County,3635.528
AZ,4,15,4015,Arizona-Mohave County,187.2
AZ,4,17,4017,Arizona-Navajo County,108.432
AZ,4,19,4019,Arizona-Pima County,924.786
AZ,4,21,4021,Arizona-Pinal County,229.549
AZ,4,23,4023,Arizona-Santa Cruz County,42.009
AZ,4,25,4025,Arizona-Yavapai County,198.701
AZ,4,27,4027,Arizona-Yuma County,181.277
AR,5,1,5001,Arkansas-Arkansas County,20.073
AR,5,3,5003,Arkansas-Ashley County,23.178
AR,5,5,5005,Arkansas-Baxter County,40.33
AR,5,7,5007,Arkansas-Benton County,186.938
AR,5,9,5009,Arkansas-Boone County,35.793
AR,5,11,5011,Arkansas-Bradley County,12.192
AR,5,13,5013,Arkansas-Calhoun County,5.589
AR,5,15,5015,Arkansas-Carroll County,26.999
AR,5,17,5017,Arkansas-Chicot County,13.027
AR,5,19,5019,Arkansas-Clark County,22.916
AR,5,21,5021,Arkansas-Clay County,16.578
AR,5,23,5023,Arkansas-Cleburne County,25.391
AR,5,25,5025,Arkansas-Cleveland County,8.903
AR,5,27,5027,Arkansas-Columbia County,24.695
AR,5,29,5029,Arkansas-Conway County,20.739
AR,5,31,5031,Arkansas-Craighead County,86.735
AR,5,33,5033,Arkansas-Crawford County,57.63
AR,5,35,5035,Arkansas-Crittenden County,51.882
AR,5,37,5037,Arkansas-Cross County,19.237
AR,5,39,5039,Arkansas-Dallas County,8.524
AR,5,41,5041,Arkansas-Desha County,14.358
AR,5,43,5043,Arkansas-Drew County,18.693
AR,5,45,5045,Arkansas-Faulkner County,97.147
AR,5,47,5047,Arkansas-Franklin County,18.218
AR,5,49,5049,Arkansas-Fulton County,11.934
AR,5,51,5051,Arkansas-Garland County,93.551
AR,5,53,5053,Arkansas-Grant County,17.348
AR,5,55,5055,Arkansas-Greene County,39.401
AR,5,57,5057,Arkansas-Hempstead County,23.383
AR,5,59,5059,Arkansas-Hot Spring County,31.264
AR,5,61,5061,Arkansas-Howard County,14.552
AR,5,63,5063,Arkansas-Independence County,34.737
AR,5,65,5065,Arkansas-Izard County,13.43
AR,5,67,5067,Arkansas-Jackson County,17.601
AR,5,69,5069,Arkansas-Jefferson County,81.7
AR,5,71,5071,Arkansas-Johnson County,24.042
AR,5,73,5073,Arkansas-Lafayette County,8.027
AR,5,75,5075,Arkansas-Lawrence County,17.153
AR,5,77,5077,Arkansas-Lee County,11.545
AR,5,79,5079,Arkansas-Lincoln County,14.262
AR,5,81,5081,Arkansas-Little River County,13.227
AR,5,83,5083,Arkansas-Logan County,22.944
AR,5,85,5085,Arkansas-Lonoke County,60.658
AR,5,87,5087,Arkansas-Madison County,14.962
AR,5,89,5089,Arkansas-Marion County,16.735
AR,5,91,5091,Arkansas-Miller County,43.162
AR,5,93,5093,Arkansas-Mississippi County,47.911
AR,5,95,5095,Arkansas-Monroe County,9.302
AR,5,97,5097,Arkansas-Montgomery County,9.274
AR,5,99,5099,Arkansas-Nevada County,9.55
AR,5,101,5101,Arkansas-Newton County,8.452
AR,5,103,5103,Arkansas-Ouachita County,27.102
AR,5,105,5105,Arkansas-Perry County,10.468
AR,5,107,5107,Arkansas-Phillips County,24.107
AR,5,109,5109,Arkansas-Pike County,11.038
AR,5,111,5111,Arkansas-Poinsett County,25.349
AR,5,113,5113,Arkansas-Polk County,20.176
AR,5,115,5115,Arkansas-Pope County,56.58
AR,5,117,5117,Arkansas-Prairie County,9.113
AR,5,119,5119,Arkansas-Pulaski County,366.463
AR,5,121,5121,Arkansas-Randolph County,18.465
AR,5,123,5123,Arkansas-St Francis County,27.902
AR,5,125,5125,Arkansas-Saline County,91.188
AR,5,127,5127,Arkansas-Scott County,11.15
AR,5,129,5129,Arkansas-Searcy County,7.969
AR,5,131,5131,Arkansas-Sebastian County,118.75
AR,5,133,5133,Arkansas-Sevier County,16.456
AR,5,135,5135,Arkansas-Sharp County,17.397
AR,5,137,5137,Arkansas-Stone County,11.716
AR,5,139,5139,Arkansas-Union County,44.186
AR,5,141,5141,Arkansas-Van Buren County,16.529
AR,5,143,5143,Arkansas-Washington County,180.357
AR,5,145,5145,Arkansas-White County,71.332
AR,5,147,5147,Arkansas-Woodruff County,8.098
AR,5,149,5149,Arkansas-Yell County,21.391
CA,6,1,6001,California-Alameda County,1448.905
CA,6,3,6003,California-Alpine County,1.159
CA,6,5,6005,California-Amador County,38.471
CA,6,7,6007,California-Butte County,214.185
CA,6,9,6009,California-Calaveras County,46.871
CA,6,11,6011,California-Colusa County,21.095
CA,6,13,6013,California-Contra Costa County,1017.787
CA,6,15,6015,California-Del Norte County,28.705
CA,6,17,6017,California-El Dorado County,176.841
CA,6,19,6019,California-Fresno County,877.584
CA,6,21,6021,California-Glenn County,27.759
CA,6,23,6023,California-Humboldt County,128.376
CA,6,25,6025,California-Imperial County,155.823
CA,6,27,6027,California-Inyo County,18.156
CA,6,29,6029,California-Kern County,756.825
CA,6,31,6031,California-Kings County,143.42
CA,6,33,6033,California-Lake County,65.147
CA,6,35,6035,California-Lassen County,34.751
CA,6,37,6037,California-Los Angeles County,9935.475
CA,6,39,6039,California-Madera County,142.788
CA,6,41,6041,California-Marin County,246.96
CA,6,43,6043,California-Mariposa County,18.069
CA,6,45,6045,California-Mendocino County,88.161
CA,6,47,6047,California-Merced County,241.706
CA,6,49,6049,California-Modoc County,9.524
CA,6,51,6051,California-Mono County,12.509
CA,6,53,6053,California-Monterey County,412.104
CA,6,55,6055,California-Napa County,132.764
CA,6,57,6057,California-Nevada County,98.394
CA,6,59,6059,California-Orange County,2988.072
CA,6,61,6061,California-Placer County,317.028
CA,6,63,6063,California-Plumas County,21.477
CA,6,65,6065,California-Riverside County,1946.419
CA,6,67,6067,California-Sacramento County,1363.482
CA,6,69,6069,California-San Benito County,55.936
CA,6,71,6071,California-San Bernardino County,1963.535
CA,6,73,6073,California-San Diego County,2933.462
CA,6,75,6075,California-San Francisco County,739.426
CA,6,77,6077,California-San Joaquin County,664.116
CA,6,79,6079,California-San Luis Obispo County,255.478
CA,6,81,6081,California-San Mateo County,699.61
CA,6,83,6083,California-Santa Barbara County,400.762
CA,6,85,6085,California-Santa Clara County,1699.052
CA,6,87,6087,California-Santa Cruz County,249.666
CA,6,89,6089,California-Shasta County,179.904
CA,6,91,6091,California-Sierra County,3.434
CA,6,93,6093,California-Siskiyou County,45.259
CA,6,95,6095,California-Solano County,411.593
CA,6,97,6097,California-Sonoma County,466.477
CA,6,99,6099,California-Stanislaus County,505.505
CA,6,101,6101,California-Sutter County,88.876
CA,6,103,6103,California-Tehama County,61.197
CA,6,105,6105,California-Trinity County,13.622
CA,6,107,6107,California-Tulare County,410.874
CA,6,109,6109,California-Tuolumne County,59.38
CA,6,111,6111,California-Ventura County,796.106
CA,6,113,6113,California-Yolo County,184.932
CA,6,115,6115,California-Yuba County,67.153
CO,8,1,8001,Colorado-Adams County,399.426
CO,8,3,8003,Colorado-Alamosa County,15.282
CO,8,5,8005,Colorado-Arapahoe County,529.09
CO,8,7,8007,Colorado-Archuleta County,11.886
CO,8,9,8009,Colorado-Baca County,4.069
CO,8,11,8011,Colorado-Bent County,5.558
CO,8,13,8013,Colorado-Boulder County,280.44
CO,8,14,8014,Colorado-Broomfield County,43.478
CO,8,15,8015,Colorado-Chaffee County,16.968
CO,8,17,8017,Colorado-Cheyenne County,1.953
CO,8,19,8019,Colorado-Clear Creek County,9.197
CO,8,21,8021,Colorado-Conejos County,8.512
CO,8,23,8023,Colorado-Costilla County,3.424
CO,8,25,8025,Colorado-Crowley County,5.401
CO,8,27,8027,Colorado-Custer County,3.86
CO,8,29,8029,Colorado-Delta County,29.947
CO,8,31,8031,Colorado-Denver County,557.917
CO,8,33,8033,Colorado-Dolores County,1.827
CO,8,35,8035,Colorado-Douglas County,249.416
CO,8,37,8037,Colorado-Eagle County,47.53
CO,8,39,8039,Colorado-Elbert County,22.788
CO,8,41,8041,Colorado-El Paso County,565.582
CO,8,43,8043,Colorado-Fremont County,47.766
CO,8,45,8045,Colorado-Garfield County,49.81
CO,8,47,8047,Colorado-Gilpin County,4.932
CO,8,49,8049,Colorado-Grand County,13.211
CO,8,51,8051,Colorado-Gunnison County,14.226
CO,8,53,8053,Colorado-Hinsdale County,0.765
CO,8,55,8055,Colorado-Huerfano County,7.771
CO,8,57,8057,Colorado-Jackson County,1.448
CO,8,59,8059,Colorado-Jefferson County,526.801
CO,8,61,8061,Colorado-Kiowa County,1.422
CO,8,63,8063,Colorado-Kit Carson County,7.642
CO,8,65,8065,Colorado-Lake County,7.738
CO,8,67,8067,Colorado-La Plata County,47.452
CO,8,69,8069,Colorado-Larimer County,271.927
CO,8,71,8071,Colorado-Las Animas County,15.446
CO,8,73,8073,Colorado-Lincoln County,5.618
CO,8,75,8075,Colorado-Logan County,20.719
CO,8,77,8077,Colorado-Mesa County,129.872
CO,8,79,8079,Colorado-Mineral County,0.932
CO,8,81,8081,Colorado-Moffat County,13.417
CO,8,83,8083,Colorado-Montezuma County,24.778
CO,8,85,8085,Colorado-Montrose County,37.482
CO,8,87,8087,Colorado-Morgan County,27.995
CO,8,89,8089,Colorado-Otero County,19.495
CO,8,91,8091,Colorado-Ouray County,4.26
CO,8,93,8093,Colorado-Park County,16.949
CO,8,95,8095,Colorado-Phillips County,4.586
CO,8,97,8097,Colorado-Pitkin County,14.914
CO,8,99,8099,Colorado-Prowers County,13.892
CO,8,101,8101,Colorado-Pueblo County,151.322
CO,8,103,8103,Colorado-Rio Blanco County,5.973
CO,8,105,8105,Colorado-Rio Grande County,12.227
CO,8,107,8107,Colorado-Routt County,21.313
CO,8,109,8109,Colorado-Saguache County,7.031
CO,8,111,8111,Colorado-San Juan County,0.577
CO,8,113,8113,Colorado-San Miguel County,7.213
CO,8,115,8115,Colorado-Sedgwick County,2.529
CO,8,117,8117,Colorado-Summit County,24.892
CO,8,119,8119,Colorado-Teller County,21.918
CO,8,121,8121,Colorado-Washington County,4.633
CO,8,123,8123,Colorado-Weld County,228.943
CO,8,125,8125,Colorado-Yuma County,9.789
CT,9,1,9001,Connecticut-Fairfield County,902.775
CT,9,3,9003,Connecticut-Hartford County,877.393
CT,9,5,9005,Connecticut-Litchfield County,190.071
CT,9,7,9007,Connecticut-Middlesex County,163.214
CT,9,9,9009,Connecticut-New Haven County,846.766
CT,9,11,9011,Connecticut-New London County,266.618
CT,9,13,9013,Connecticut-Tolland County,147.634
CT,9,15,9015,Connecticut-Windham County,115.826
DE,10,1,10001,Delaware-Kent County,143.968
DE,10,3,10003,Delaware-New Castle County,523.008
DE,10,5,10005,Delaware-Sussex County,176.548
DC,11,1,11001,District Of Columbia-District of Columbia County,582.049
FL,12,1,12001,Florida-Alachua County,240.764
FL,12,3,12003,Florida-Baker County,23.953
FL,12,5,12005,Florida-Bay County,161.721
FL,12,7,12007,Florida-Bradford County,28.118
FL,12,9,12009,Florida-Brevard County,531.97
FL,12,11,12011,Florida-Broward County,1740.987
FL,12,13,12013,Florida-Calhoun County,13.945
FL,12,15,12015,Florida-Charlotte County,154.03
FL,12,17,12017,Florida-Citrus County,132.635
FL,12,19,12019,Florida-Clay County,169.623
FL,12,21,12021,Florida-Collier County,317.788
FL,12,23,12023,Florida-Columbia County,61.466
FL,12,27,12027,Florida-De Soto County,32.606
FL,12,29,12029,Florida-Dixie County,15.377
FL,12,31,12031,Florida-Duval County,861.15
FL,12,33,12033,Florida-Escambia County,303.623
FL,12,35,12035,Florida-Flagler County,78.617
FL,12,37,12037,Florida-Franklin County,10.845
FL,12,39,12039,Florida-Gadsden County,47.713
FL,12,41,12041,Florida-Gilchrist County,16.221
FL,12,43,12043,Florida-Glades County,10.729
FL,12,45,12045,Florida-Gulf County,16.479
FL,12,47,12047,Florida-Hamilton County,14.315
